Label,NodeID,knowledge,experiance,periode
0.4,s1_f1,0.292952,0.5,1
0.2,s1_f2,0.261524,0.5,1
1,s1_h1,0.997247,0.5,1
0.6,s1_h2,0.70186,0.5,1
1,s2_f1,0.99633,0.5,1
1,s2_f2,0.99633,0.5,1
1,s2_h1,0.994494,0.5,1
1,s2_h2,0.999694,0.5,1
1,s3_f1,0.999082,0.5,1
1,s3_f2,0.995412,0.5,1
0,s3_h1,0.261524,0.5,1
1,s3_h2,0.996941,0.5,1
1,s4_f1,0.995412,0.5,1
1,s4_f2,0.999082,0.5,1
1,s4_h1,0.997247,0.5,1
1,s4_h2,0.999694,0.5,1
1,s1_f3,0.999312,0.5,1
1,s1_h3,1,0.5,1
0.2,s1_h4,0.261524,0.5,1
1,s2_f3,0.996559,0.5,1
1,s2_h3,1,0.5,1
1,s2_h4,0.995412,0.5,1
1,s3_f3,0.997935,0.5,1
1,s3_h3,1,0.5,1
1,s3_h4,0.99633,0.5,1
1,s4_f3,0.997935,0.5,1
0.4,s4_h3,0.326673,0.5,1
1,s4_h4,0.999082,0.5,1
1,s1_f4,0.998165,0.5,1
0.6,s1_h5,0.495554,0.5,1
1,s2_f4,0.998165,0.5,1
1,s2_h5,0.998165,0.5,1
0.2,s3_f4,0.261524,0.5,1
1,s3_h5,0.99633,0.5,1
1,s4_f4,0.99633,0.5,1
1,s4_h5,0.998165,0.5,1
0.2,s1_f5,0.482065,0.5,1
1,s2_f5,0.99828,0.5,1
1,s3_f5,0.998968,0.5,1
1,s4_f5,0.99828,0.5,1
0.2,s1_f1,0.261524,0.413198,2
0,s1_f2,0.0774968,0.400022,2
0,s1_h1,0,0.708464,2
0,s1_h2,0.261524,0.584627,2
1,s2_f1,0.99633,0.708079,2
1,s2_f2,0.99633,0.708079,2
1,s2_h1,0.995412,0.70731,2
1,s2_h2,0.999082,0.70949,2
1,s3_f1,0.999082,0.709233,2
1,s3_f2,0.995412,0.707694,2
1,s3_h1,0.999082,0.400022,2
1,s3_h2,0.998165,0.708336,2
1,s4_f1,0.995412,0.707694,2
1,s4_f2,0.999082,0.709233,2
1,s4_h1,0.99633,0.708464,2
1,s4_h2,0.999082,0.70949,2
1,s1_f3,0.999312,0.709329,2
1,s1_h3,0.999082,0.709618,2
1,s1_h4,0.999082,0.400022,2
1,s2_f3,0.996559,0.708175,2
1,s2_h3,0.999082,0.709618,2
1,s2_h4,0.993577,0.707694,2
1,s3_f3,0.997935,0.708752,2
0,s3_h3,0.261524,0.709618,2
1,s3_h4,0.998165,0.708079,2
1,s4_f3,0.997935,0.708752,2
1,s4_h3,0.998165,0.427335,2
1,s4_h4,0.999082,0.709233,2
0.2,s1_f4,0.483923,0.708849,2
0.4,s1_h5,0.297632,0.498136,2
1,s2_f4,0.998348,0.708849,2
1,s2_h5,0.998165,0.708849,2
1,s3_f4,0.998899,0.400022,2
1,s3_h5,0.99633,0.708079,2
1,s4_f4,0.992843,0.708079,2
1,s4_h5,0.998165,0.708849,2
1,s1_f5,0.996559,0.492481,2
1,s2_f5,0.997935,0.708897,2
1,s3_f5,0.999312,0.709185,2
1,s4_f5,0.997935,0.708897,2
1,s1_f1,0.997247,0.349611,3
0,s1_f2,0,0.264808,3
1,s1_h1,0.999082,0.41145,3
1,s1_h2,0.999082,0.449171,3
1,s2_f1,0.994494,0.828924,3
1,s2_f2,0.99633,0.828924,3
0,s2_h1,0.261524,0.828093,3
1,s2_h2,0.999082,0.830897,3
0,s3_f1,0.261524,0.830748,3
1,s3_f2,0.995412,0.828316,3
1,s3_h1,0.998165,0.65117,3
1,s3_h2,0.998165,0.829842,3
1,s4_f1,0.997247,0.828316,3
