SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h5,f2,1,0.5,0.333333,0.191639,0.5,0.5
h5,f4,1,0.5,0.333333,0.793936,0.5,0.5
f3,f2,1,0.5,0.333333,0.657919,0.5,0.5
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
h3,f1,1,0.5,0.5,0.659381,0.5,0.5
h3,f2,1,0.5,0.5,0.851998,0.5,0.5
h3,f4,1,0.5,0.5,0.440104,0.5,0.5
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
f3,f2,1,0.5,0.333333,0.657919,0.5,0.5
h1,f2,1,0.5,0.5,0.556362,0.5,0.5
h1,f4,1,0.5,0.5,0.212492,0.5,0.5
h1,f4,1,0.5,0.5,0.212492,0.5,0.5
h1,f2,1,0.5,0.5,0.556362,0.5,0.34
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
f3,f2,1,0.5,0.333333,0.657919,0.5,0.5
f3,h1,1,0.5,0.333333,0.4744,0.5,0.5
h5,f2,1,0.5,0.333333,0.191639,0.5,0.5
h5,f3,1,0.5,0.333333,0.517238,0.5,0.5
h5,f4,1,0.5,0.333333,0.793936,0.5,0.7
h5,h1,1,0.5,0.333333,0.228055,0.5,0.5
f3,f2,2,0.900291,0.333333,0.657919,0.5,0.5
f3,h1,2,0.900291,0.333333,0.4744,0.5,0.5
f3,h5,2,0.901027,0.333333,0.517238,0.5,0.5
f4,f2,2,0.900291,0.5,0.292101,0.5,0.5
f4,h1,2,0.900291,0.5,0.212492,0.5,0.5
h5,f2,2,0.900291,0.333333,0.191639,0.5,0.5
h5,f4,2,0.899555,0.333333,0.793936,0.5,0.65
h4,f2,2,0.900291,0.5,0.490369,0.5,0.5
h4,f4,2,0.899555,0.5,0.801733,0.5,0.5
h3,f2,2,0.900291,0.5,0.851998,0.5,0.5
f5,f2,2,0.900291,1,0.0994279,0.5,0.5
f5,f4,2,0.899555,0.333333,0.552963,0.5,0.5
f5,h3,2,0.899555,0,0.225157,0.5,0.5
f2,f4,2,0.899555,0.25,0.292101,0.5,0.5
f2,h2,2,0.900291,0.25,0.768221,0.5,0.5
f2,h3,2,0.899555,0.25,0.851998,0.5,0.5
h4,f4,2,0.899555,0.5,0.801733,0.5,0.6
h4,h2,2,0.900291,0,0.261497,0.5,0.5
f5,f4,2,0.899555,0.333333,0.552963,0.5,0.5
f5,h2,2,0.900291,0.333333,0,0.5,0.5
f4,f2,3,0.941708,0.5,0.292101,0.5,0.5
f4,h2,3,0.941708,0,0.0635079,0.5,0.5
f4,h3,3,0.940896,0.5,0.440104,0.5,0.5
f1,f2,3,0.941708,0.666667,0.742268,0.5,0.5
f1,h2,3,0.941708,0.333333,0.685799,0.5,0.5
f1,h5,3,0.941555,0.333333,0.119574,0.5,0.5
h3,h2,3,0.941708,0,0.621867,0.5,0.5
h3,h5,3,0.941555,1,0.334537,0.5,0.5
f2,f1,3,0.942444,0.5,0.742268,0.5,0.5
f2,h2,3,0.941708,0.25,0.768221,0.5,0.5
f4,h2,3,0.941708,0,0.0635079,0.5,0.5
f4,f3,3,0.941708,1,0.634183,0.5,0.5
f4,f5,3,0.942444,0.5,0.552963,0.5,0.5
f1,h2,3,0.941708,0.333333,0.685799,0.5,0.5
f1,f3,3,0.941708,0.333333,0.502559,0.5,0.5
f1,f5,3,0.942444,0.666667,0.0983332,0.5,0.5
f1,h1,3,0.942223,0,0.750855,0.5,0.5
f2,h2,3,0.941708,0.25,0.768221,0.5,0.5
f2,f1,3,0.942444,0.5,0.742268,0.5,0.62
f2,f3,3,0.941708,0.25,0.657919,0.5,0.5
f2,f5,3,0.942444,0.75,0.0994279,0.5,0.5
f2,h1,3,0.942223,0.25,0.556362,0.5,0.5
f4,f2,4,0.966497,0.5,0.292101,0.5,0.5
f4,h1,4,0.96655,0.5,0.212492,0.5,0.7
f4,h2,4,0.965761,0,0.0635079,0.5,0.5
f5,f2,4,0.966497,1,0.0994279,0.5,0.7
f5,h2,4,0.965761,0.333333,0,0.5,0.5
